asm	db	cat	N
tros_v5_mollusca_odb10	mollusca_odb10	F	351
tros_v6_metazoa_odb10	metazoa_odb10	F	101
tros_v6_mollusca_odb10	mollusca_odb10	F	354
tros_v7_metazoa_odb10	metazoa_odb10	F	62
tros_v7_mollusca_odb10	mollusca_odb10	F	291
coruscus_GCA017311375_metazoa_odb10	metazoa_odb10	F	34
coruscus_GCA017311375_mollusca_odb10	mollusca_odb10	F	180
gallo_GCA900618805_metazoa_odb10	metazoa_odb10	F	88
gallo_GCA900618805_mollusca_odb10	mollusca_odb10	F	253
edu_GCA905397895_metazoa_odb10	metazoa_odb10	F	39
edu_GCA905397895_mollusca_odb10	mollusca_odb10	F	230
eduam_GCA019925415_metazoa_odb10	metazoa_odb10	F	43
eduam_GCA019925415_mollusca_odb10	mollusca_odb10	F	212
gallo_v1_metazoa_odb10	metazoa_odb10	M	52
gallo_v1_mollusca_odb10	mollusca_odb10	M	1547
gallo_v2_metazoa_odb10	metazoa_odb10	M	43
gallo_v2_mollusca_odb10	mollusca_odb10	M	1505
gallo_v3_metazoa_odb10	metazoa_odb10	M	59
gallo_v3_mollusca_odb10	mollusca_odb10	M	1629
gallo_v4_metazoa_odb10	metazoa_odb10	M	65
gallo_v4_mollusca_odb10	mollusca_odb10	M	1704
gallo_v5_metazoa_odb10	metazoa_odb10	M	56
gallo_v5_mollusca_odb10	mollusca_odb10	M	1374
gallo_v6_metazoa_odb10	metazoa_odb10	M	58
gallo_v6_mollusca_odb10	mollusca_odb10	M	1382
gallo_v7_metazoa_odb10	metazoa_odb10	M	45
gallo_v7_mollusca_odb10	mollusca_odb10	M	1029
edu_v1_metazoa_odb10	metazoa_odb10	M	31
edu_v1_mollusca_odb10	mollusca_odb10	M	1498
edu_v2_metazoa_odb10	metazoa_odb10	M	35
edu_v2_mollusca_odb10	mollusca_odb10	M	1569
edu_v3_metazoa_odb10	metazoa_odb10	M	43
edu_v3_mollusca_odb10	mollusca_odb10	M	1662
edu_v4_metazoa_odb10	metazoa_odb10	M	37
edu_v4_mollusca_odb10	mollusca_odb10	M	1584
edu_v5_metazoa_odb10	metazoa_odb10	M	29
edu_v5_mollusca_odb10	mollusca_odb10	M	1221
edu_v6_metazoa_odb10	metazoa_odb10	M	31
edu_v6_mollusca_odb10	mollusca_odb10	M	1225
edu_v7_metazoa_odb10	metazoa_odb10	M	28
edu_v7_mollusca_odb10	mollusca_odb10	M	884
tros_v1_metazoa_odb10	metazoa_odb10	M	40
tros_v1_mollusca_odb10	mollusca_odb10	M	1369
tros_v2_metazoa_odb10	metazoa_odb10	M	42
tros_v2_mollusca_odb10	mollusca_odb10	M	1375
tros_v3_metazoa_odb10	metazoa_odb10	M	56
tros_v3_mollusca_odb10	mollusca_odb10	M	1536
tros_v4_metazoa_odb10	metazoa_odb10	M	56
tros_v4_mollusca_odb10	mollusca_odb10	M	1559
tros_v5_metazoa_odb10	metazoa_odb10	M	49
tros_v5_mollusca_odb10	mollusca_odb10	M	1287
tros_v6_metazoa_odb10	metazoa_odb10	M	51
tros_v6_mollusca_odb10	mollusca_odb10	M	1292
tros_v7_metazoa_odb10	metazoa_odb10	M	33
tros_v7_mollusca_odb10	mollusca_odb10	M	965
coruscus_GCA017311375_metazoa_odb10	metazoa_odb10	M	71
coruscus_GCA017311375_mollusca_odb10	mollusca_odb10	M	827
gallo_GCA900618805_metazoa_odb10	metazoa_odb10	M	111
gallo_GCA900618805_mollusca_odb10	mollusca_odb10	M	1307
edu_GCA905397895_metazoa_odb10	metazoa_odb10	M	29
edu_GCA905397895_mollusca_odb10	mollusca_odb10	M	691
eduam_GCA019925415_metazoa_odb10	metazoa_odb10	M	45
eduam_GCA019925415_mollusca_odb10	mollusca_odb10	M	892
gallo_v1_metazoa_odb10	metazoa_odb10	C	764
gallo_v1_mollusca_odb10	mollusca_odb10	C	3355
gallo_v2_metazoa_odb10	metazoa_odb10	C	780
gallo_v2_mollusca_odb10	mollusca_odb10	C	3371
gallo_v3_metazoa_odb10	metazoa_odb10	C	762
gallo_v3_mollusca_odb10	mollusca_odb10	C	3259
gallo_v4_metazoa_odb10	metazoa_odb10	C	747
gallo_v4_mollusca_odb10	mollusca_odb10	C	3162
gallo_v5_metazoa_odb10	metazoa_odb10	C	796
gallo_v5_mollusca_odb10	mollusca_odb10	C	3530
gallo_v6_metazoa_odb10	metazoa_odb10	C	790
gallo_v6_mollusca_odb10	mollusca_odb10	C	3520
gallo_v7_metazoa_odb10	metazoa_odb10	C	839
gallo_v7_mollusca_odb10	mollusca_odb10	C	3920
edu_v1_metazoa_odb10	metazoa_odb10	C	858
edu_v1_mollusca_odb10	mollusca_odb10	C	3429
edu_v2_metazoa_odb10	metazoa_odb10	C	819
edu_v2_mollusca_odb10	mollusca_odb10	C	3345
edu_v3_metazoa_odb10	metazoa_odb10	C	812
edu_v3_mollusca_odb10	mollusca_odb10	C	3263
edu_v4_metazoa_odb10	metazoa_odb10	C	847
edu_v4_mollusca_odb10	mollusca_odb10	C	3347
edu_v5_metazoa_odb10	metazoa_odb10	C	876
edu_v5_mollusca_odb10	mollusca_odb10	C	3746
edu_v6_metazoa_odb10	metazoa_odb10	C	872
edu_v6_mollusca_odb10	mollusca_odb10	C	3740
edu_v7_metazoa_odb10	metazoa_odb10	C	892
edu_v7_mollusca_odb10	mollusca_odb10	C	4131
tros_v1_metazoa_odb10	metazoa_odb10	C	783
tros_v1_mollusca_odb10	mollusca_odb10	C	3514
tros_v2_metazoa_odb10	metazoa_odb10	C	776
tros_v2_mollusca_odb10	mollusca_odb10	C	3536
tros_v3_metazoa_odb10	metazoa_odb10	C	749
tros_v3_mollusca_odb10	mollusca_odb10	C	3370
tros_v4_metazoa_odb10	metazoa_odb10	C	756
tros_v4_mollusca_odb10	mollusca_odb10	C	3325
tros_v5_metazoa_odb10	metazoa_odb10	C	807
tros_v5_mollusca_odb10	mollusca_odb10	C	3657
tros_v6_metazoa_odb10	metazoa_odb10	C	802
tros_v6_mollusca_odb10	mollusca_odb10	C	3649
tros_v7_metazoa_odb10	metazoa_odb10	C	859
tros_v7_mollusca_odb10	mollusca_odb10	C	4039
coruscus_GCA017311375_metazoa_odb10	metazoa_odb10	C	849
coruscus_GCA017311375_mollusca_odb10	mollusca_odb10	C	4288
gallo_GCA900618805_metazoa_odb10	metazoa_odb10	C	755
gallo_GCA900618805_mollusca_odb10	mollusca_odb10	C	3735
edu_GCA905397895_metazoa_odb10	metazoa_odb10	C	886
edu_GCA905397895_mollusca_odb10	mollusca_odb10	C	4374
eduam_GCA019925415_metazoa_odb10	metazoa_odb10	C	866
eduam_GCA019925415_mollusca_odb10	mollusca_odb10	C	4191
gallo_v1_metazoa_odb10	metazoa_odb10	T	954
gallo_v1_mollusca_odb10	mollusca_odb10	T	5295
gallo_v2_metazoa_odb10	metazoa_odb10	T	954
gallo_v2_mollusca_odb10	mollusca_odb10	T	5295
